Date, Open, High, Low,Close
16/06/2008 23:00:00,196.26,201.74,194.69,195.53
17/06/2008 23:00:00,195.45,197.08,193.85,195.45
18/06/2008 23:00:00,195.35,198.73,193.67,198.15
19/06/2008 23:00:00,197.91,199.72,193.48,193.79
20/06/2008 23:00:00,193.77,198.86,193.11,196.1
23/06/2008 23:00:00,196.16,199.5,195.41,198.65
24/06/2008 23:00:00,198.61,200.11,197.26,198.46
25/06/2008 23:00:00,198.43,198.94,193.31,195.96
26/06/2008 23:00:00,195.88,201.75,195.04,201.01
27/06/2008 23:00:00,200.8,204.35,199.97,201.99
30/06/2008 23:00:00,201.96,205.03,200.53,201.45
01/07/2008 23:00:00,201.54,204.69,201.31,202.69
02/07/2008 23:00:00,202.8,205.68,201.37,205.66
03/07/2008 23:00:00,205.55,207.21,204.58,206.79
04/07/2008 23:00:00,206.67,207.04,205.06,205.53
07/07/2008 23:00:00,205.63,205.89,200.88,203.09
08/07/2008 23:00:00,202.95,203.8,196.5,197.15
09/07/2008 23:00:00,197.36,199.64,196.7,197.04
10/07/2008 23:00:00,197.16,203.49,196.79,203.34
11/07/2008 23:00:00,203.16,208.63,202.8,206.01
14/07/2008 23:00:00,206.05,207.73,203.85,206.46
15/07/2008 23:00:00,206.55,208.09,197.28,200.24
16/07/2008 23:00:00,200.13,200.66,193.46,196.34
17/07/2008 23:00:00,196.47,198.11,190.36,190.84
18/07/2008 23:00:00,190.92,193.4,189.59,189.86
21/07/2008 23:00:00,190.27,193.52,189.89,192.77
22/07/2008 23:00:00,192.75,193.67,187.14,189.24
23/07/2008 23:00:00,188.99,189.47,184.89,185.17
24/07/2008 23:00:00,185.23,187.21,184.29,186.24
25/07/2008 23:00:00,186.37,187.28,183.27,184.16
28/07/2008 23:00:00,184.18,185.99,183.4,185.74
29/07/2008 23:00:00,185.71,186.62,181.19,182.72
30/07/2008 23:00:00,182.67,188.16,181.57,187.63
31/07/2008 23:00:00,187.67,188.66,183.48,184.89
01/08/2008 23:00:00,184.83,189.37,182.87,185.82
04/08/2008 23:00:00,186.75,187.12,180.27,181.81
05/08/2008 23:00:00,181.77,182,178.77,179.45
06/08/2008 23:00:00,179.52,181.26,177.88,179.41
07/08/2008 23:00:00,179.57,182.55,178.68,180.63
08/08/2008 23:00:00,180.67,180.85,175.39,175.82
11/08/2008 23:00:00,175.97,177.67,173.49,175.35
12/08/2008 23:00:00,175.3,176.72,173.08,173.75
13/08/2008 23:00:00,173.86,178.23,173.64,177.15
14/08/2008 23:00:00,177.16,178.19,173.36,175.52
15/08/2008 23:00:00,175.6,175.97,172.11,174.53
18/08/2008 23:00:00,174.71,176.12,172.77,173.84
19/08/2008 23:00:00,173.95,177.45,172.41,175.95
20/08/2008 23:00:00,175.99,177.75,173.35,176.67
21/08/2008 23:00:00,176.61,182.79,176.15,182.35
22/08/2008 23:00:00,182.3,182.61,174.93,175.38
25/08/2008 23:00:00,175.44,176.81,174.43,176.11
26/08/2008 23:00:00,176.25,178.64,173.11,176.97
27/08/2008 23:00:00,176.79,180.38,176.39,178.87
28/08/2008 23:00:00,178.91,181.25,174.83,176.38
29/08/2008 23:00:00,176.5,179.51,175.75,176.15
01/09/2008 23:00:00,177.52,178,171.35,171.89
02/09/2008 23:00:00,171.99,172.25,166.21,171.04
03/09/2008 23:00:00,170.99,171.05,167.97,170.1
